# file...... outputs/solar_output.csv
# date...... Fri May  3 12:55:17 2019
# user...... keegan
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b1m2_solar_meter:measured_real_power,b1m3_solar_meter:measured_real_power,b1m4_solar_meter:measured_real_power,b2m1_solar_meter:measured_real_power,b2m2_solar_meter:measured_real_power,b2m4_solar_meter:measured_real_power,b3m2_solar_meter:measured_real_power,b3m3_solar_meter:measured_real_power,b3m4_solar_meter:measured_real_power
2013-07-01 08:00:00 PDT,-416.966678484,-416.966678483,-416.966678563,-416.966678475,-416.966678553,-416.966678557,-416.966678465,-416.966678601,-416.966678603
2013-07-01 08:01:00 PDT,-429.247928147,-429.247928107,-429.247928634,-429.247927904,-429.247928611,-429.247928596,-429.247927784,-429.24792828,-429.247928268
2013-07-01 08:02:00 PDT,-441.827757829,-441.827757786,-441.827758349,-441.827757567,-441.827758331,-441.827758314,-441.827757437,-441.827757958,-441.827757945
2013-07-01 08:03:00 PDT,-454.701495295,-454.701495248,-454.701495849,-454.701495011,-454.701495836,-454.701495818,-454.70149487,-454.701495418,-454.701495404
2013-07-01 08:04:00 PDT,-467.864467746,-467.864467695,-467.864468335,-467.864467439,-467.86446833,-467.86446831,-467.864467287,-467.864467863,-467.864467847
2013-07-01 08:05:00 PDT,-481.311999818,-481.311999764,-481.312000445,-481.311999487,-481.312000447,-481.312000426,-481.311999323,-481.311999927,-481.31199991
2013-07-01 08:06:00 PDT,-495.039413899,-495.039413841,-495.039414565,-495.039413542,-495.039414576,-495.039414553,-495.039413366,-495.039413998,-495.039413979
2013-07-01 08:07:00 PDT,-509.042030439,-509.042030376,-509.042031145,-509.042030054,-509.042031166,-509.042031141,-509.042029865,-509.042030526,-509.042030506
2013-07-01 08:08:00 PDT,-523.315168264,-523.315168196,-523.315169014,-523.315167851,-523.315169045,-523.315169018,-523.315167647,-523.315168339,-523.315168317
2013-07-01 08:09:00 PDT,-537.854144895,-537.854144822,-537.854145689,-537.854144451,-537.854145732,-537.854145703,-537.854144232,-537.854144954,-537.85414493
2013-07-01 08:10:00 PDT,-552.654276849,-552.654276771,-552.654277704,-552.654276372,-552.65427775,-552.654277718,-552.654276137,-552.654276915,-552.654276889
2013-07-01 08:11:00 PDT,-567.710879965,-567.71087988,-567.710880869,-567.710879453,-567.710880928,-567.710880895,-567.710879201,-567.710880012,-567.710879984
2013-07-01 08:12:00 PDT,-583.019269699,-583.019269609,-583.019270655,-583.019269152,-583.01927073,-583.019270694,-583.019268882,-583.019269727,-583.019269697
